Bdist3	braDis3	Brachypodium distachyon Bd21 (JGI v3.0)	eukaryota	Streptophyta
Mtrun4	medTru4	Medicago truncatula (Mt4.0v1)	eukaryota	Streptophyta
Graim2	gosRai2	Gossypium raimondii (Cotton v2)	eukaryota	Streptophyta
Ptric3	popTri3	Populus trichocarpa (JGI v3.0)	eukaryota	Streptophyta
Sbico3	sorBic3	Sorghum bicolor (Version 3.1)	eukaryota	Streptophyta
Oarie1	oviAri3	Ovis aries (sheep) (Feb 2010)	eukaryota	Mammalia
Zmays6	zeaMay6	Zea mays B73 (Version AGPv3)	eukaryota	Streptophyta
Gmax2	glyMax2	Glycine max (soybean) (Wm82.a2)	eukaryota	Streptophyta
Rnorv6	rn6	Rattus norvegicus (Rat Jul. 2014 RGSC 6.0/rn6)	eukaryota	Mammalia
Vpaco2	vicPac2	Vicugna pacos (Alpaca Mar. 2013 Vicugna_pacos-2.0.1/vicPac2)	eukaryota	Mammalia
Osati7	orySat7	Oryza sativa Japonica Group (Japanese rice IRGSP-1.0)	eukaryota	Streptophyta
danRer10	danRer10	Danio rerio (Zebrafish Sep. 2014 GRCz10/danRer10)	eukaryota	Vertebrata
proCap1	proCap1	Procavia capensis (Rock hyrax Jul. 2008 Broad/proCap1)	eukaryota	Mammalia
pteVam1	pteVam1	Pteropus vampyrus (Megabat Jul. 2008 Broad/pteVam1)	eukaryota	Mammalia
manEsc6	manEsc6	Manihot esculenta (Cassava v6)	eukaryota	Spermatophyta
Syne_CC9311	syneSp_CC9311	Synechococcus sp. CC9311	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_CC9605	syneSp_CC9605	Synechococcus sp. CC9605	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_CC9902	syneSp_CC9902	Synechococcus sp. CC9902	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_JA_2_3Ba2_13	syneSp_JA_2_3BA2_13	Synechococcus sp. JA-2-3Ba2-13	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_JA_3_3Ab	syneSp_JA_3_3AB	Synechococcus sp. JA-3-3Ab	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_KORDI_100	syneSp_KORDI_100	Synechococcus sp. KORDI-100	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_KORDI_49	syneSp_KORDI_49	Synechococcus sp. KORDI-49	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_KORDI_52	syneSp_KORDI_52	Synechococcus sp. KORDI-52	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_PCC_6312	syneSp_PCC_6312	Synechococcus sp. PCC 6312	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_PCC_7002_ATCC_27264	syneSp_PCC_7002_ATCC27264	Synechococcus sp. PCC 7002 ATCC 27264	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_PCC_7502	syneSp_PCC_7502	Synechococcus sp. PCC 7502	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_RCC307	syneSp_RCC307	Synechococcus sp. RCC307	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_UTEX_2973	syneSp_UTEX_2973	Synechococcus sp. UTEX 2973	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_WH_7803	syneSp_WH_7803	Synechococcus sp. WH 7803	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_WH_8109	syneSp_WH_8109	Synechococcus sp. WH 8109	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_PCC_6714	syneSp_PCC_6714	Synechocystis sp. PCC 6714	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_PCC_6803	synePCC6	Synechocystis sp. PCC 6803	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_PCC_6803_1	syneSp_PCC_6803_1	Synechocystis sp. PCC 6803	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_PCC_6803_GT_S	syneSp_PCC_6803_GT_S	Synechocystis sp. PCC 6803 GT-S	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_PCC_6803_GT_I	syneSp_PCC_6803_GT_I	Synechocystis sp. PCC 6803 substr. GT-I	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_PCC_6803_PCC_N	syneSp_PCC_6803_PCC_N	Synechocystis sp. PCC 6803 substr. PCC-N	bacteria	Cyanobacteria	Oscillatoriophycideae
Syne_PCC_6803_PCC_P	syneSp_PCC_6803_PCC_P	Synechocystis sp. PCC 6803 substr. PCC-P	bacteria	Cyanobacteria	Oscillatoriophycideae
Ther_elon_BP_1	therElon	Thermosynechococcus elongatus BP-1	bacteria	Cyanobacteria	Oscillatoriophycideae
Ther_NK55a	therSp_NK55A	Thermosynechococcus sp. NK55a	bacteria	Cyanobacteria	Oscillatoriophycideae
Tric_eryt_IMS101	tricEryt_IMS101	Trichodesmium erythraeum IMS101	bacteria	Cyanobacteria	Oscillatoriophycideae
Chro_ther_PCC_7203	chroTher_PCC_7203	Chroococcidiopsis thermalis PCC 7203	bacteria	Cyanobacteria	Pleurocapsales
Pleu_PCC_7327	pleuSp_PCC_7327	Pleurocapsa sp. PCC 7327	bacteria	Cyanobacteria	Pleurocapsales
Stan_cyan_PCC_7437	stanCyan_PCC_7437	Stanieria cyanosphaera PCC 7437	bacteria	Cyanobacteria	Pleurocapsales
Proc_mari_AS9601	procMari_AS9601	Prochlorococcus marinus str. AS9601	bacteria	Cyanobacteria	Prochlorales
Proc_mari_MIT_9211_MIT9211	procMari_MIT_9211_MIT9211	Prochlorococcus marinus str. MIT 9211 MIT9211	bacteria	Cyanobacteria	Prochlorales
Proc_mari_MIT_9215	procMari_MIT_9215	Prochlorococcus marinus str. MIT 9215	bacteria	Cyanobacteria	Prochlorales
Proc_mari_MIT_9301	procMari_MIT_9301	Prochlorococcus marinus str. MIT 9301	bacteria	Cyanobacteria	Prochlorales
Proc_mari_MIT_9303	procMari_MIT_9303	Prochlorococcus marinus str. MIT 9303	bacteria	Cyanobacteria	Prochlorales
Proc_mari_MIT_9312	procMari_MIT_9312	Prochlorococcus marinus str. MIT 9312	bacteria	Cyanobacteria	Prochlorales
Proc_mari_MIT_9313_MIT9313	procMari_MIT_9313_MIT9313	Prochlorococcus marinus str. MIT 9313 MIT9313	bacteria	Cyanobacteria	Prochlorales
Proc_mari_MIT_9515	procMari_MIT_9515	Prochlorococcus marinus str. MIT 9515	bacteria	Cyanobacteria	Prochlorales
Proc_mari_NATL1A	procMari_NATL1A	Prochlorococcus marinus str. NATL1A	bacteria	Cyanobacteria	Prochlorales
Proc_mari_NATL2A	procMari_NATL2A	Prochlorococcus marinus str. NATL2A	bacteria	Cyanobacteria	Prochlorales
Proc_mari_marinus_CCMP1375_SS120	procMari_MARINUS_CCMP137	Prochlorococcus marinus subsp. marinus str. CCMP1375 SS120	bacteria	Cyanobacteria	Prochlorales
Proc_mari_pastoris_CCMP1986_MED4	procMari_PASTORIS_CCMP19	Prochlorococcus marinus subsp. pastoris str. CCMP1986 MED4	bacteria	Cyanobacteria	Prochlorales
Proc_MIT_0604	procSp_MIT_0604	Prochlorococcus sp. MIT 0604	bacteria	Cyanobacteria	Prochlorales
Proc_MIT_0801	procSp_MIT_0801	Prochlorococcus sp. MIT 0801	bacteria	Cyanobacteria	Prochlorales
cyan_endo_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko	cyanEndo_OF_EPITHEMIA_TURGIDA	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	bacteria	Cyanobacteria	Unclassified
Cald_nitr_DSM_19672	caldNitr_DSM19672	Calditerrivibrio nitroreducens DSM 19672	bacteria	Deferribacteres	Deferribacterales
Defe_desu_SSM1	defeDesu1	Deferribacter desulfuricans SSM1	bacteria	Deferribacteres	Deferribacterales
Deni_acet_DSM_12809	deniAcet_DSM12809	Denitrovibrio acetiphilus DSM 12809	bacteria	Deferribacteres	Deferribacterales
Flex_sinu_DSM_4947	flexSinu_DSM4947	Flexistipes sinusarabici DSM 4947	bacteria	Deferribacteres	Deferribacterales
Dein_dese_VCD115	deinDese_VCD115	Deinococcus deserti VCD115	bacteria	Deinococcus-Thermus	Deinococci
Dein_geot_DSM_11300	deinGeot_DSM11300	Deinococcus geothermalis DSM 11300	bacteria	Deinococcus-Thermus	Deinococci
Dein_gobi_I_0	deinGobi_I_0	Deinococcus gobiensis I-0	bacteria	Deinococcus-Thermus	Deinococci
Dein_mari_DSM_21211	deinMari_DSM21211	Deinococcus maricopensis DSM 21211	bacteria	Deinococcus-Thermus	Deinococci
Dein_pera_DSM_19664	deinPera_DSM19664	Deinococcus peraridilitoris DSM 19664	bacteria	Deinococcus-Thermus	Deinococci
Dein_prot_MRP	deinProt_MRP	Deinococcus proteolyticus MRP	bacteria	Deinococcus-Thermus	Deinococci
Dein_radi_R1	deinRadi	Deinococcus radiodurans R1	bacteria	Deinococcus-Thermus	Deinococci
Dein_swue_DY59	deinSwue_DY59	Deinococcus swuensis DY59	bacteria	Deinococcus-Thermus	Deinococci
Ther_oshi_JL_2	therOshi_JL_2	Thermus oshimai JL-2	bacteria	Deinococcus-Thermus	Deinococci
Ther_scot_SA_01	therScot_SA_01	Thermus scotoductus SA-01	bacteria	Deinococcus-Thermus	Deinococci
Ther_CCB_US3_UF1	therSp_CCB_US3_UF1	Thermus sp. CCB_US3_UF1	bacteria	Deinococcus-Thermus	Deinococci
Ther_ther_HB27	therTher_HB27	Thermus thermophilus HB27	bacteria	Deinococcus-Thermus	Deinococci
Ther_ther_HB8	therTher_HB8	Thermus thermophilus HB8	bacteria	Deinococcus-Thermus	Deinococci
Ther_ther_JL_18	therTher_JL_18	Thermus thermophilus JL-18	bacteria	Deinococcus-Thermus	Deinococci
Ther_ther_SG0_5JP17_16	therTher_SG0_5JP17_16	Thermus thermophilus SG0.5JP17-16	bacteria	Deinococcus-Thermus	Deinococci
Dict_ther_H_6_12_ATCC_35947	dictTher_H_6_12_ATCC35947	Dictyoglomus thermophilum H-6-12 ATCC 35947	bacteria	Dictyoglomi	Dictyoglomales
Dict_turg_DSM_6724	dictTurg_DSM6724	Dictyoglomus turgidum DSM 6724	bacteria	Dictyoglomi	Dictyoglomales
Elus_minu_Pei191	elusMinu_PEI191	Elusimicrobium minutum Pei191	bacteria	Elusimicrobia	Elusimicrobia
Fibr_succ_succinogenes_S85	fibrSucc_SUCCINOGENES_S8	Fibrobacter succinogenes subsp. succinogenes S85	bacteria	Fibrobacteres	Fibrobacterales
Fibr_succ_succinogenes_S85_1	fibrSucc_SUCCINOGENES_S8_1	Fibrobacter succinogenes subsp. succinogenes S85	bacteria	Fibrobacteres	Fibrobacterales
Aero_urin_ACS_120_V_Col10a	aeroUrin_ACS_120_V_COL10A	Aerococcus urinae ACS-120-V-Col10a	bacteria	Firmicutes	Bacilli
Alic_acid_acidocaldarius_DSM_446	alicAcid_ACIDOCALDARIUS	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	bacteria	Firmicutes	Bacilli
Alic_acid_acidocaldarius_Tc_4_1	alicAcid_ACIDOCALDARIUS_1	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	bacteria	Firmicutes	Bacilli
Amph_xyla_NBRC_15112	amphXyla_NBRC_15112	Amphibacillus xylanus NBRC 15112	bacteria	Firmicutes	Bacilli
Anox_flav_WK1	anoxFlav1	Anoxybacillus flavithermus WK1	bacteria	Firmicutes	Bacilli
Baci_amyl_CC178	baciAmyl_CC178	Bacillus amyloliquefaciens CC178	bacteria	Firmicutes	Bacilli
Baci_amyl_DSM_7	baciAmyl_DSM7	Bacillus amyloliquefaciens DSM 7	bacteria	Firmicutes	Bacilli
Baci_amyl_IT_45	baciAmyl_IT_45	Bacillus amyloliquefaciens IT-45	bacteria	Firmicutes	Bacilli
Baci_amyl_L_H15	baciAmyl_L_H15	Bacillus amyloliquefaciens L-H15	bacteria	Firmicutes	Bacilli
Baci_amyl_L_S60	baciAmyl_L_S60	Bacillus amyloliquefaciens L-S60	bacteria	Firmicutes	Bacilli
Baci_amyl_LFB112	baciAmyl_LFB112	Bacillus amyloliquefaciens LFB112	bacteria	Firmicutes	Bacilli
Baci_amyl_LL3	baciAmyl_LL3	Bacillus amyloliquefaciens LL3	bacteria	Firmicutes	Bacilli
Baci_amyl_SQR9	baciAmyl_SQR9	Bacillus amyloliquefaciens SQR9	bacteria	Firmicutes	Bacilli
Baci_amyl_TA208	baciAmyl_TA208	Bacillus amyloliquefaciens TA208	bacteria	Firmicutes	Bacilli
Baci_amyl_XH7	baciAmyl_XH7	Bacillus amyloliquefaciens XH7	bacteria	Firmicutes	Bacilli
Baci_amyl_Y2	baciAmyl_Y2	Bacillus amyloliquefaciens Y2	bacteria	Firmicutes	Bacilli
Baci_amyl_amyloliquefaciens_KHG19	baciAmyl_AMYLOLIQUEFACIE	Bacillus amyloliquefaciens subsp. amyloliquefaciens KHG19	bacteria	Firmicutes	Bacilli
Baci_amyl_plantarum_AS43_3	baciAmyl_PLANTARUM_AS43	Bacillus amyloliquefaciens subsp. plantarum AS43.3	bacteria	Firmicutes	Bacilli
Baci_amyl_plantarum_CAU_B946	baciAmyl_PLANTARUM_CAU_B	Bacillus amyloliquefaciens subsp. plantarum CAU B946	bacteria	Firmicutes	Bacilli
Baci_amyl_plantarum_FZB42	baciAmyl_PLANTARUM_FZB42	Bacillus amyloliquefaciens subsp. plantarum FZB42	bacteria	Firmicutes	Bacilli
Baci_amyl_plantarum_NAU_B3	baciAmyl_PLANTARUM_NAU_B	Bacillus amyloliquefaciens subsp. plantarum NAU-B3	bacteria	Firmicutes	Bacilli
Baci_amyl_plantarum_NJN6	baciAmyl_PLANTARUM_NJN6	Bacillus amyloliquefaciens subsp. plantarum NJN6	bacteria	Firmicutes	Bacilli
Baci_amyl_plantarum_TrigoCor1448	baciAmyl_PLANTARUM_TRIGO	Bacillus amyloliquefaciens subsp. plantarum TrigoCor1448	bacteria	Firmicutes	Bacilli
Baci_amyl_plantarum_UCMB5033_UCMB_5033	baciAmyl_PLANTARUM_UCMB5	Bacillus amyloliquefaciens subsp. plantarum UCMB5033 UCMB-5033	bacteria	Firmicutes	Bacilli
Baci_amyl_plantarum_UCMB5036	baciAmyl_PLANTARUM_UCMB5_1	Bacillus amyloliquefaciens subsp. plantarum UCMB5036	bacteria	Firmicutes	Bacilli
Baci_amyl_plantarum_UCMB5113	baciAmyl_PLANTARUM_UCMB5_2	Bacillus amyloliquefaciens subsp. plantarum UCMB5113	bacteria	Firmicutes	Bacilli
Baci_amyl_plantarum_YAU_B9601_Y2	baciAmyl_PLANTARUM_YAU_B	Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2	bacteria	Firmicutes	Bacilli
Baci_anth_2000031021	baciAnth_2000031021	Bacillus anthracis 2000031021	bacteria	Firmicutes	Bacilli
Baci_anth_2002013094	baciAnth_2002013094	Bacillus anthracis 2002013094	bacteria	Firmicutes	Bacilli
Baci_anth_A0157	baciAnth_A0157	Bacillus anthracis A0157	bacteria	Firmicutes	Bacilli
Baci_anth_A1144	baciAnth_A1144	Bacillus anthracis A1144	bacteria	Firmicutes	Bacilli
Baci_anth_Ames_A0462	baciAnth_AMES_A0462	Bacillus anthracis Ames A0462	bacteria	Firmicutes	Bacilli
Baci_anth_Ames_BA1004	baciAnth_AMES_BA1004	Bacillus anthracis Ames_BA1004	bacteria	Firmicutes	Bacilli
Baci_anth_BA1015	baciAnth_BA1015	Bacillus anthracis BA1015	bacteria	Firmicutes	Bacilli
Baci_anth_BA1035	baciAnth_BA1035	Bacillus anthracis BA1035	bacteria	Firmicutes	Bacilli
Baci_anth_BFV	baciAnth_BFV	Bacillus anthracis BFV	bacteria	Firmicutes	Bacilli
Baci_anth_Canadian_bison	baciAnth_CANADIAN_BISON	Bacillus anthracis Canadian_bison	bacteria	Firmicutes	Bacilli
Baci_anth_Cvac02	baciAnth_CVAC02	Bacillus anthracis Cvac02	bacteria	Firmicutes	Bacilli
Baci_anth_HYU01	baciAnth_HYU01	Bacillus anthracis HYU01	bacteria	Firmicutes	Bacilli
Baci_anth_Han	baciAnth_HAN	Bacillus anthracis Han	bacteria	Firmicutes	Bacilli
Baci_anth_K3	baciAnth_K3	Bacillus anthracis K3	bacteria	Firmicutes	Bacilli
Baci_anth_Ohio_ACB	baciAnth_OHIO_ACB	Bacillus anthracis Ohio ACB	bacteria	Firmicutes	Bacilli
Baci_anth_PAK_1	baciAnth_PAK_1	Bacillus anthracis PAK-1	bacteria	Firmicutes	Bacilli
Baci_anth_Pasteur	baciAnth_PASTEUR	Bacillus anthracis Pasteur	bacteria	Firmicutes	Bacilli
Baci_anth_Pollino	baciAnth_POLLINO	Bacillus anthracis Pollino	bacteria	Firmicutes	Bacilli
Baci_anth_RA3	baciAnth_RA3	Bacillus anthracis RA3	bacteria	Firmicutes	Bacilli
Baci_anth_SK_102	baciAnth_SK_102	Bacillus anthracis SK-102	bacteria	Firmicutes	Bacilli
Baci_anth_Vollum_1B	baciAnth_VOLLUM_1B	Bacillus anthracis Vollum 1B	bacteria	Firmicutes	Bacilli
Baci_anth_delta_Sterne	baciAnth_DELTA_STERNE	Bacillus anthracis delta Sterne	bacteria	Firmicutes	Bacilli
Baci_anth_A0248	baciAnth_A0248	Bacillus anthracis str. A0248	bacteria	Firmicutes	Bacilli
Baci_anth_A16	baciAnth_A16	Bacillus anthracis str. A16	bacteria	Firmicutes	Bacilli
Baci_anth_A16R	baciAnth_A16R	Bacillus anthracis str. A16R	bacteria	Firmicutes	Bacilli
Baci_anth_A2012	baciAnth_A2012	Bacillus anthracis str. A2012	bacteria	Firmicutes	Bacilli
Baci_anth_Ames	baciAnth_AMES	Bacillus anthracis str. Ames	bacteria	Firmicutes	Bacilli
Baci_anth_Ames_Ancestor_A2084	baciAnth_AMES_ANCESTOR_A20	Bacillus anthracis str. Ames Ancestor A2084	bacteria	Firmicutes	Bacilli
Baci_anth_CDC_684	baciAnth_CDC_684	Bacillus anthracis str. CDC 684	bacteria	Firmicutes	Bacilli
Baci_anth_H9401	baciAnth_H9401	Bacillus anthracis str. H9401	bacteria	Firmicutes	Bacilli
Baci_anth_SVA11	baciAnth_SVA11	Bacillus anthracis str. SVA11	bacteria	Firmicutes	Bacilli
Baci_anth_Sterne	baciAnth_STERNE	Bacillus anthracis str. Sterne	bacteria	Firmicutes	Bacilli
Baci_anth_Sterne_1	baciAnth_STERNE_1	Bacillus anthracis str. Sterne	bacteria	Firmicutes	Bacilli
Baci_anth_Turkey32	baciAnth_TURKEY32	Bacillus anthracis str. Turkey32	bacteria	Firmicutes	Bacilli
Baci_anth_V770_NP_1R	baciAnth_V770_NP_1R	Bacillus anthracis str. V770-NP-1R	bacteria	Firmicutes	Bacilli
Baci_anth_Vollum	baciAnth_VOLLUM	Bacillus anthracis str. Vollum	bacteria	Firmicutes	Bacilli
Baci_atro_1942	baciAtro_1942	Bacillus atrophaeus 1942	bacteria	Firmicutes	Bacilli
Baci_atro_NRS_1221A	baciAtro_NRS_1221A	Bacillus atrophaeus NRS 1221A	bacteria	Firmicutes	Bacilli
Baci_atro_globigii_BSS	baciAtro_GLOBIGII_BSS	Bacillus atrophaeus subsp. globigii BSS	bacteria	Firmicutes	Bacilli
Baci_bomb_Wang	baciBomb_WANG	Bacillus bombysepticus str. Wang	bacteria	Firmicutes	Bacilli
Baci_cell_DSM_2522	baciCell_DSM2522	Bacillus cellulosilyticus DSM 2522	bacteria	Firmicutes	Bacilli
Baci_cere_03BB102	baciCere_03BB102	Bacillus cereus 03BB102	bacteria	Firmicutes	Bacilli
Baci_cere_03BB102_1	baciCere_03BB102_1	Bacillus cereus 03BB102	bacteria	Firmicutes	Bacilli
Baci_cere_03BB108	baciCere_03BB108	Bacillus cereus 03BB108	bacteria	Firmicutes	Bacilli
Baci_cere_03BB87	baciCere_03BB87	Bacillus cereus 03BB87	bacteria	Firmicutes	Bacilli
Baci_cere_3a	baciCere_3A	Bacillus cereus 3a	bacteria	Firmicutes	Bacilli
Baci_cere_AH187	baciCere_AH187	Bacillus cereus AH187	bacteria	Firmicutes	Bacilli
Baci_cere_AH820	baciCere_AH820	Bacillus cereus AH820	bacteria	Firmicutes	Bacilli
Baci_cere_ATCC_10987	baciCere_ATCC10987	Bacillus cereus ATCC 10987	bacteria	Firmicutes	Bacilli
Baci_cere_ATCC_14579	baciCere_ATCC14579	Bacillus cereus ATCC 14579	bacteria	Firmicutes	Bacilli
Baci_cere_ATCC_4342	baciCere_ATCC4342	Bacillus cereus ATCC 4342	bacteria	Firmicutes	Bacilli
Baci_cere_Al_Hakam	baciCere_AL_HAKAM	Bacillus cereus Al Hakam	bacteria	Firmicutes	Bacilli
Baci_cere_B4264	baciCere_B4264	Bacillus cereus B4264	bacteria	Firmicutes	Bacilli
Baci_cere_D17	baciCere_D17	Bacillus cereus D17	bacteria	Firmicutes	Bacilli
Baci_cere_E33L_1	baciCere_E33L_1	Bacillus cereus E33L	bacteria	Firmicutes	Bacilli
Baci_cere_E33L	baciCere_E33L	Bacillus cereus E33L	bacteria	Firmicutes	Bacilli
Baci_cere_F837_76	baciCere_F837_76	Bacillus cereus F837/76	bacteria	Firmicutes	Bacilli
Baci_cere_FM1	baciCere_FM1	Bacillus cereus FM1	bacteria	Firmicutes	Bacilli
Baci_cere_FORC_005	baciCere_FORC_005	Bacillus cereus FORC_005	bacteria	Firmicutes	Bacilli
Baci_cere_FRI_35	baciCere_FRI_35	Bacillus cereus FRI-35	bacteria	Firmicutes	Bacilli
Baci_cere_FT9	baciCere_FT9	Bacillus cereus FT9	bacteria	Firmicutes	Bacilli
Baci_cere_G9241	baciCere_G9241	Bacillus cereus G9241	bacteria	Firmicutes	Bacilli
Baci_cere_G9842	baciCere_G9842	Bacillus cereus G9842	bacteria	Firmicutes	Bacilli
Baci_cere_NC7401	baciCere_NC7401	Bacillus cereus NC7401	bacteria	Firmicutes	Bacilli
Baci_cere_Q1	baciCere_Q1	Bacillus cereus Q1	bacteria	Firmicutes	Bacilli
Baci_cere_S2_8	baciCere_S2_8	Bacillus cereus S2-8	bacteria	Firmicutes	Bacilli
Baci_cere_biovar_anthracis_CI	baciCere_ANTHRACIS_CI	Bacillus cereus biovar anthracis str. CI	bacteria	Firmicutes	Bacilli
Baci_clau_KSM_K16	baciClau_KSM_K16	Bacillus clausii KSM-K16	bacteria	Firmicutes	Bacilli
Baci_coag_2_6	baciCoag_2_6	Bacillus coagulans 2-6	bacteria	Firmicutes	Bacilli
Baci_coag_36D1	baciCoag_36D1	Bacillus coagulans 36D1	bacteria	Firmicutes	Bacilli
Baci_coag_DSM_1_ATCC_7050	baciCoag_DSM1_ATCC7050	Bacillus coagulans DSM 1 ATCC 7050	bacteria	Firmicutes	Bacilli
Baci_coag_HM_08	baciCoag_HM_08	Bacillus coagulans HM-08	bacteria	Firmicutes	Bacilli
Baci_cyto_NVH_391_98	baciCyto_NVH_391_98	Bacillus cytotoxicus NVH 391-98	bacteria	Firmicutes	Bacilli
Baci_halo_C_125	baciHalo	Bacillus halodurans C-125	bacteria	Firmicutes	Bacilli
Baci_infa_NRRL_B_14911	baciInfa_NRRL_B_14911	Bacillus infantis NRRL B-14911	bacteria	Firmicutes	Bacilli
Baci_lehe_G1	baciLehe_G1	Bacillus lehensis G1	bacteria	Firmicutes	Bacilli
Baci_lich_9945A	baciLich_9945A	Bacillus licheniformis 9945A	bacteria	Firmicutes	Bacilli
Baci_lich_BL_09	baciLich_BL_09	Bacillus licheniformis BL-09	bacteria	Firmicutes	Bacilli
Baci_lich_DSM_13_ATCC_14580_1	baciLich_DSM13_ATCC14580_1	Bacillus licheniformis DSM 13 ATCC 14580	bacteria	Firmicutes	Bacilli
Baci_lich_DSM_13_ATCC_14580	baciLich_DSM13_ATCC14580	Bacillus licheniformis DSM 13 ATCC 14580	bacteria	Firmicutes	Bacilli
Baci_mega_DSM_319	baciMega_DSM319	Bacillus megaterium DSM 319	bacteria	Firmicutes	Bacilli
Baci_mega_NBRC_15308_ATCC_14581	baciMega_NBRC_15308_ATCC14581	Bacillus megaterium NBRC 15308 ATCC 14581	bacteria	Firmicutes	Bacilli
Baci_mega_QM_B1551	baciMega_QM_B1551	Bacillus megaterium QM B1551	bacteria	Firmicutes	Bacilli
Baci_mega_WSH_002	baciMega_WSH_002	Bacillus megaterium WSH-002	bacteria	Firmicutes	Bacilli
Baci_meth_MGA3	baciMeth_MGA3	Bacillus methanolicus MGA3	bacteria	Firmicutes	Bacilli
Baci_meth_JS25R	baciMeth_JS25R	Bacillus methylotrophicus JS25R	bacteria	Firmicutes	Bacilli
Baci_myco_219298	baciMyco_219298	Bacillus mycoides 219298	bacteria	Firmicutes	Bacilli
Baci_myco_ATCC_6462	baciMyco_ATCC6462	Bacillus mycoides ATCC 6462	bacteria	Firmicutes	Bacilli
Baci_pseu_OF4	baciPseu_OF4	Bacillus pseudofirmus OF4	bacteria	Firmicutes	Bacilli
Baci_pumi_MTCC_B6033	baciPumi_MTCC_B6033	Bacillus pumilus MTCC B6033	bacteria	Firmicutes	Bacilli
Baci_pumi_SAFR_032	baciPumi_SAFR_032	Bacillus pumilus SAFR-032	bacteria	Firmicutes	Bacilli
Baci_pumi_W3	baciPumi_W3	Bacillus pumilus W3	bacteria	Firmicutes	Bacilli
Baci_sele_MLS10	baciSele_MLS10	Bacillus selenitireducens MLS10	bacteria	Firmicutes	Bacilli
Baci_1NLA3E	baciSp_1NLA3E	Bacillus sp. 1NLA3E	bacteria	Firmicutes	Bacilli
Baci_BH072	baciSp_BH072	Bacillus sp. BH072	bacteria	Firmicutes	Bacilli
Baci_BS34A	baciSp_BS34A	Bacillus sp. BS34A	bacteria	Firmicutes	Bacilli
Baci_JS	baciSp_JS	Bacillus sp. JS	bacteria	Firmicutes	Bacilli
Baci_LM_4_2	baciSp_LM_4_2	Bacillus sp. LM 4-2	bacteria	Firmicutes	Bacilli
Baci_OxB_1	baciSp_OXB_1	Bacillus sp. OxB-1	bacteria	Firmicutes	Bacilli
Baci_Pc3	baciSp_PC3	Bacillus sp. Pc3	bacteria	Firmicutes	Bacilli
Baci_WP8	baciSp_WP8	Bacillus sp. WP8	bacteria	Firmicutes	Bacilli
Baci_X12014	baciSp_X12014	Bacillus sp. X12014	bacteria	Firmicutes	Bacilli
Baci_YP1	baciSp_YP1	Bacillus sp. YP1	bacteria	Firmicutes	Bacilli
Baci_subt_ATCC_13952	baciSubt_ATCC13952	Bacillus subtilis ATCC 13952	bacteria	Firmicutes	Bacilli
Baci_subt_ATCC_19217	baciSubt_ATCC19217	Bacillus subtilis ATCC 19217	bacteria	Firmicutes	Bacilli
Baci_subt_B_1	baciSubt_B_1	Bacillus subtilis B-1	bacteria	Firmicutes	Bacilli
Baci_subt_BEST7003	baciSubt_BEST7003	Bacillus subtilis BEST7003	bacteria	Firmicutes	Bacilli
Baci_subt_BEST7613	baciSubt_BEST7613	Bacillus subtilis BEST7613	bacteria	Firmicutes	Bacilli
Baci_subt_BS49	baciSubt_BS49	Bacillus subtilis BS49	bacteria	Firmicutes	Bacilli
Baci_subt_BSn5	baciSubt_BSN5	Bacillus subtilis BSn5	bacteria	Firmicutes	Bacilli
Baci_subt_Bs_916	baciSubt_BS_916	Bacillus subtilis Bs-916	bacteria	Firmicutes	Bacilli
Baci_subt_HJ5	baciSubt_HJ5	Bacillus subtilis HJ5	bacteria	Firmicutes	Bacilli
Baci_subt_KCTC_1028	baciSubt_KCTC_1028	Bacillus subtilis KCTC 1028	bacteria	Firmicutes	Bacilli
Baci_subt_PS832	baciSubt_PS832	Bacillus subtilis PS832	bacteria	Firmicutes	Bacilli
Baci_subt_PY79	baciSubt_PY79	Bacillus subtilis PY79	bacteria	Firmicutes	Bacilli
